Name,Description,Regular Price,In Stock?,Tags,Images
Ocean Blue Iridescent Labradorite Electroformed Pendant Necklace,✨🌊This beautifully bright copper pendant has been Electroformed with a natural Labradorite stone and has a double helix bail. The stunningly bright copper has been sealed with an environmentally friendly sealant to maintain appearance ✨,55,1,"ocean,Labradorite,blue,iridescent,teardrop,Gold,golden,boho,bohemian,unique,electroformed,Shiny,hamdmade","https://i.etsystatic.com/20733072/r/il/f386cd/2772510838/il_fullxfull.2772510838_iw1v.jpg, https://i.etsystatic.com/20733072/r/il/114a95/2820196431/il_fullxfull.2820196431_htqr.jpg,        https://i.etsystatic.com/20733072/r/il/d3da78/2772511382/il_fullxfull.2772511382_bwi9.jpg,        https://i.etsystatic.com/20733072/r/il/028acf/2820196547/il_fullxfull.2820196547_s58i.jpg, https://i.etsystatic.com/20733072/r/il/96afd2/2820196769/il_fullxfull.2820196769_nr3z.jpg,        https://i.etsystatic.com/20733072/r/il/d2ca8b/2820196871/il_fullxfull.2820196871_ifx4.jpg,        https://i.etsystatic.com/20733072/r/il/a46043/2772511870/il_fullxfull.2772511870_lgj4.jpg,        https://i.etsystatic.com/20733072/r/il/ff1e84/2772512206/il_fullxfull.2772512206_qeum.jpg,        https://i.etsystatic.com/20733072/r/il/64a299/2823872467/il_fullxfull.2823872467_h5cl.jpg,        https://i.etsystatic.com/20733072/r/il/e806a9/2820197253/il_fullxfull.2820197253_fozs.jpg"
Rainbow Labradorite and Amazonite Copper Electroformed Stacked Pendant Necklace,✨This beautifully bright stacked stone copper pendant has been Electroformed with natural Labradorite and Amazonite stones and has a double helix bail. The stunningly bright copper has been sealed with an environmentally friendly sealant to maintain appearance ✨,62,1,"Labradorite,copper,Amazonite,gold,Blue,green,Orange,bohemian,iridescent,boho,natural,geometric,unique","https://i.etsystatic.com/20733072/r/il/c72e29/2820188975/il_fullxfull.2820188975_h3ux.jpg, https://i.etsystatic.com/20733072/r/il/33d21b/2820188237/il_fullxfull.2820188237_mn7n.jpg,	https://i.etsystatic.com/20733072/r/il/555fd6/2772502818/il_fullxfull.2772502818_kcxy.jpg,	https://i.etsystatic.com/20733072/r/il/4b5e16/2820188395/il_fullxfull.2820188395_2l9z.jpg,	https://i.etsystatic.com/20733072/r/il/bde15f/2772503286/il_fullxfull.2772503286_1p9e.jpg,	https://i.etsystatic.com/20733072/r/il/46c553/2772503420/il_fullxfull.2772503420_87ja.jpg,	https://i.etsystatic.com/20733072/r/il/7fe364/2772503628/il_fullxfull.2772503628_oi8s.jpg,	https://i.etsystatic.com/20733072/r/il/f4ef69/2820189069/il_fullxfull.2820189069_9jmp.jpg,	https://i.etsystatic.com/20733072/r/il/6fa448/2772503942/il_fullxfull.2772503942_8nq9.jpg,	https://i.etsystatic.com/20733072/r/il/54e19f/2772503988/il_fullxfull.2772503988_hzkm.jpg"
Bumblebee Copper Electroformed Midnight Blue Goldstone Pendant Y-Necklace,"🐝 Dainty Bumblebee copper Electroformed pendant Y-Necklace, featuring a midnight blue goldstone bead at the center. The copper bumblebee has be sealed with an environmentally friendly sealant to maintain appearance ✨",40,1,"Y_Necklace,Copper,bumblebee,bee,blue,goldstone,Electroformed,choker,boho,iridescent,insect,bug,Midnight","https://i.etsystatic.com/20733072/r/il/332f39/2774707200/il_fullxfull.2774707200_9256.jpg, https://i.etsystatic.com/20733072/r/il/399d8b/2774707490/il_fullxfull.2774707490_q5j8.jpg,	https://i.etsystatic.com/20733072/r/il/ad3a4c/2774707364/il_fullxfull.2774707364_lrw8.jpg,	https://i.etsystatic.com/20733072/r/il/0abb72/2822390857/il_fullxfull.2822390857_77vz.jpg,	https://i.etsystatic.com/20733072/r/il/af6e09/2774707938/il_fullxfull.2774707938_rhy9.jpg,	https://i.etsystatic.com/20733072/r/il/adb06e/2822391153/il_fullxfull.2822391153_eh6u.jpg,	https://i.etsystatic.com/20733072/r/il/fe7de7/2774708202/il_fullxfull.2774708202_mahj.jpg,	https://i.etsystatic.com/20733072/r/il/dfef6a/2822391585/il_fullxfull.2822391585_s88a.jpg,	https://i.etsystatic.com/20733072/r/il/f4c61e/2774707628/il_fullxfull.2774707628_4d81.jpg,	https://i.etsystatic.com/20733072/r/il/4658d0/2774708714/il_fullxfull.2774708714_k7yl.jpg"
Bumblebee Baby Blue Amazonite Electroformed Copper Pendant Y-Necklace,"🐝 Dainty Bumblebee copper Electroformed pendant Y-Necklace, featuring a natural baby blue Amazonite bead at the center. The copper bumblebee has be sealed with an environmentally friendly sealant to maintain appearance ✨",40,1,"Bee,bumblebee,Amazonite,copper,bright,nature,bug,insect,choker,simple,Unique,cute,Y_necklace","https://i.etsystatic.com/20733072/r/il/5ac385/2772523466/il_fullxfull.2772523466_p274.jpg, https://i.etsystatic.com/20733072/r/il/d39547/2772443642/il_fullxfull.2772443642_shsg.jpg,	https://i.etsystatic.com/20733072/r/il/e55282/2772443788/il_fullxfull.2772443788_j37c.jpg,	https://i.etsystatic.com/20733072/r/il/6a9fc7/2820128571/il_fullxfull.2820128571_qne1.jpg,	https://i.etsystatic.com/20733072/r/il/cf1c57/2772444158/il_fullxfull.2772444158_1lgn.jpg,	https://i.etsystatic.com/20733072/r/il/e7de03/2772444474/il_fullxfull.2772444474_o2gp.jpg,	https://i.etsystatic.com/20733072/r/il/65e3de/2772444596/il_fullxfull.2772444596_m9ox.jpg,	https://i.etsystatic.com/20733072/r/il/b044f9/2820129345/il_fullxfull.2820129345_k67k.jpg,	https://i.etsystatic.com/20733072/r/il/18d008/2820129573/il_fullxfull.2820129573_q1sr.jpg,	https://i.etsystatic.com/20733072/r/il/aec5f4/2820129701/il_fullxfull.2820129701_acf2.jpg,	"
Kodama Spherical Orb Design Labradorite Electroformed Copper Pendant Necklace,"This iridescent labradorite pendant has an abstract kodama, spherical design that has been electroplated with copper. The pendant has a natural tigers eye stone embedded into the pendant, and three on the chain, accenting the antique patina of the copper. The copper has been sealed with an environmentally friendly sealant to maintain appearance.",55,1,"kodama,Copper,labradorite,tigers_eye,spherical,Electroformed,boho,bohemian,iridescent,blue,Green,natural_stone,witchy","https://i.etsystatic.com/20733072/r/il/128f22/2820113433/il_fullxfull.2820113433_8hko.jpg, https://i.etsystatic.com/20733072/r/il/7ac3cc/2772429068/il_fullxfull.2772429068_phg8.jpg,	https://i.etsystatic.com/20733072/r/il/712326/2820113405/il_fullxfull.2820113405_8uwi.jpg,	https://i.etsystatic.com/20733072/r/il/2344a9/2772428916/il_fullxfull.2772428916_delr.jpg,	https://i.etsystatic.com/20733072/r/il/89a452/2820113079/il_fullxfull.2820113079_tulo.jpg,	https://i.etsystatic.com/20733072/r/il/b59ab8/2772429080/il_fullxfull.2772429080_pe6c.jpg,	https://i.etsystatic.com/20733072/r/il/acc2b4/2820113401/il_fullxfull.2820113401_8p50.jpg,	https://i.etsystatic.com/20733072/r/il/c32d8c/2820113375/il_fullxfull.2820113375_m5vu.jpg,	https://i.etsystatic.com/20733072/r/il/652c46/2772429078/il_fullxfull.2772429078_8894.jpg,	https://i.etsystatic.com/20733072/r/il/c51f12/2772429034/il_fullxfull.2772429034_btu2.jpg	"
Bumblebee Copper Electroformed Midnight Blue Goldstone Pendant Y-Necklace,"🐝 Dainty Bumblebee copper Electroformed pendant Y-Necklace, featuring a midnight blue goldstone bead at the center. The copper bumblebee has be sealed with an environmentally friendly sealant to maintain appearance ✨",45,1,"Y_Necklace,Bumblebee,bee,electroformed,copper,blue,goldstone,iridescent,gold,insect,bug,midnight,boho","https://i.etsystatic.com/20733072/r/il/6b21b0/2774698368/il_fullxfull.2774698368_65rb.jpg, https://i.etsystatic.com/20733072/r/il/d40731/2774698400/il_fullxfull.2774698400_mat2.jpg,	https://i.etsystatic.com/20733072/r/il/b4148c/2774698012/il_fullxfull.2774698012_9ifp.jpg,	https://i.etsystatic.com/20733072/r/il/e561e5/2822381041/il_fullxfull.2822381041_8kd9.jpg,	https://i.etsystatic.com/20733072/r/il/1b50e1/2774698072/il_fullxfull.2774698072_7k9u.jpg,	https://i.etsystatic.com/20733072/r/il/26794f/2774698332/il_fullxfull.2774698332_gw2g.jpg, https://i.etsystatic.com/20733072/r/il/a6e297/2822381311/il_fullxfull.2822381311_onbq.jpg,	https://i.etsystatic.com/20733072/r/il/feda0a/2774698350/il_fullxfull.2774698350_303n.jpg,	https://i.etsystatic.com/20733072/r/il/2b1dcd/2774725082/il_fullxfull.2774725082_nbma.jpg,	https://i.etsystatic.com/20733072/r/il/4ab554/2822381461/il_fullxfull.2822381461_pt2s.jpg"
Lunar Moth Blue Amazonite Electroformed Copper Pendant Y-Necklace,"🌙🦋Dainty Lunar Moth copper Electroformed pendant Y-Necklace, featuring a natural baby blue Amazonite bead at the center. The copper moth has be sealed with an environmentally friendly sealant to maintain appearance ✨",45,1,"y_necklace,Moth,butterfly,Amazonite,copper,Moon,Luna,Lunar,boho,bohemian,nature,Blue,Choker","https://i.etsystatic.com/20733072/r/il/93e1b0/2772452824/il_fullxfull.2772452824_1xyy.jpg, https://i.etsystatic.com/20733072/r/il/1c9f50/2772452582/il_fullxfull.2772452582_2p6b.jpg,	https://i.etsystatic.com/20733072/r/il/a58de3/2820137873/il_fullxfull.2820137873_69u6.jpg,	https://i.etsystatic.com/20733072/r/il/398dff/2820137233/il_fullxfull.2820137233_iwc2.jpg,	https://i.etsystatic.com/20733072/r/il/c13203/2820137491/il_fullxfull.2820137491_jd71.jpg,	https://i.etsystatic.com/20733072/r/il/bc2dfe/2772453126/il_fullxfull.2772453126_9y6u.jpg,	https://i.etsystatic.com/20733072/r/il/d070a0/2820138019/il_fullxfull.2820138019_kv8j.jpg,	https://i.etsystatic.com/20733072/r/il/550d8b/2772453758/il_fullxfull.2772453758_k97s.jpg,	https://i.etsystatic.com/20733072/r/il/324f53/2820138499/il_fullxfull.2820138499_e27m.jpg,	https://i.etsystatic.com/20733072/r/il/9a89b8/2772453280/il_fullxfull.2772453280_2b0m.jpg"
Lunar Moth Electroformed Copper Midnight Blue Goldstone Pendant Y-Necklace,"🌙🦋Dainty Lunar Moth copper Electroformed pendant Y-Necklace, featuring a midnight blue goldstone bead at the center. The copper moth has be sealed with an environmentally friendly sealant to maintain appearance ✨",45,1,"Y_Necklace,Moth,luna,lunar,copper,shiny,moon,gold,goldstone,blue,iridescent,boho,Electroformed","https://i.etsystatic.com/20733072/r/il/85dd05/2822309581/il_fullxfull.2822309581_dv1z.jpg, https://i.etsystatic.com/20733072/r/il/98ead7/2774626822/il_fullxfull.2774626822_7yk4.jpg,	https://i.etsystatic.com/20733072/r/il/ac8eb3/2774627220/il_fullxfull.2774627220_duyu.jpg, https://i.etsystatic.com/20733072/r/il/8780af/2774627406/il_fullxfull.2774627406_dr5q.jpg,	https://i.etsystatic.com/20733072/r/il/e1567b/2822310491/il_fullxfull.2822310491_8git.jpg,	https://i.etsystatic.com/20733072/r/il/5d9ecb/2822310649/il_fullxfull.2822310649_fvw4.jpg,	https://i.etsystatic.com/20733072/r/il/03449c/2774627760/il_fullxfull.2774627760_mxcw.jpg,	https://i.etsystatic.com/20733072/r/il/7403b4/2774716668/il_fullxfull.2774716668_attg.jpg,	https://i.etsystatic.com/20733072/r/il/2f8eab/2774628114/il_fullxfull.2774628114_h9x5.jpg,	https://i.etsystatic.com/20733072/r/il/fc8ffe/2822310955/il_fullxfull.2822310955_svnb.jpg"
Octopus Coral Kraken Tentacle Electroformed Labradorite Copper Pendant Necklace,Very stunning and vibrant Labradorite pendant with a copper octopus tentacle and coral details! 🐙🐚 The copper has a dark patina for a tarnished look with brightly polished copper shining through. The copper is sealed with an environmentally friendly sealant to maintain appearance.,46,1,"sea_witch,tentacle,squid,octopus,kraken,Electroplated,Bohemian,Electroformed,Labradorite,Iridescent,witchy,Copper,Pendant","https://i.etsystatic.com/20733072/r/il/bb4ac2/2505225952/il_fullxfull.2505225952_fb86.jpg, https://i.etsystatic.com/20733072/r/il/9b7239/2505225862/il_fullxfull.2505225862_fa60.jpg,	https://i.etsystatic.com/20733072/r/il/2f4aff/2505226038/il_fullxfull.2505226038_a0va.jpg,	https://i.etsystatic.com/20733072/r/il/fb9519/2505226110/il_fullxfull.2505226110_kncl.jpg,	https://i.etsystatic.com/20733072/r/il/bcc6f1/2552896979/il_fullxfull.2552896979_1k59.jpg,	https://i.etsystatic.com/20733072/r/il/c5347f/2552897081/il_fullxfull.2552897081_359l.jpg, https://i.etsystatic.com/20733072/r/il/a5739f/2552897175/il_fullxfull.2552897175_ea96.jpg,	https://i.etsystatic.com/20733072/r/il/5920e7/2505226474/il_fullxfull.2505226474_cw8i.jpg,	https://i.etsystatic.com/20733072/r/il/236f6b/2505226600/il_fullxfull.2505226600_qw5n.jpg,	https://i.etsystatic.com/20733072/r/il/a334d1/2505456866/il_fullxfull.2505456866_77pz.jpg"
Palm Leaf Labradorite Electroformed Copper Pendant Necklace,Very stunning and vibrant Labradorite pendant with a copper palm leaf detail! 🌴The copper has a dark patina for a tarnished look with brightly polished copper shining through. The copper is sealed with an environmentally friendly sealant to maintain appearance.,40,1,"rainbow,palm_leaf,Leaf,Electroplated,Electroformed,Bohemian,Labradorite,Iridescent,tarnished,witchy,Copper,Pendant,natural_stone","https://i.etsystatic.com/20733072/r/il/a75830/2505212066/il_fullxfull.2505212066_1pe9.jpg, https://i.etsystatic.com/20733072/r/il/936610/2505212154/il_fullxfull.2505212154_6188.jpg,	https://i.etsystatic.com/20733072/r/il/c02be7/2505212266/il_fullxfull.2505212266_7sbf.jpg,	https://i.etsystatic.com/20733072/r/il/e9408f/2505212384/il_fullxfull.2505212384_hdd5.jpg,	https://i.etsystatic.com/20733072/r/il/a3c5cb/2552883421/il_fullxfull.2552883421_qbyo.jpg"
